id_artiste,nom,biographie
1,The Weeknd,"Abel Makkonen Tesfaye, né le 16 février 1990 à Toronto, se fait remarquer en 2010 en publiant anonymement ses premières chansons sur YouTube. Son premier projet, House of Balloons (2011), impose son style sombre et éthéré, fusion d’alternative R&B, de trip hop et d’indie pop. Avec Trilogy (2012), il consolide son statut de visionnaire du PBR&B, tandis que Starboy (2016) et After Hours (2020) révèlent sa capacité à marier synth‑pop, dream pop et R&B. Lauréat de multiples Grammy Awards, il explore constamment de nouvelles sonorités et repousse les limites du genre, tout en restant fidèle à son univers nocturne et introspectif. "
2,Metro Boomin,"Leland Tyler Wayne, dit Metro Boomin, voit le jour le 16 septembre 1993 à St. Louis, Missouri. Prodige du beatmaking, il s’installe à Atlanta et devient, dès 2013, le producteur attitré de la trap américaine, collaborant avec Future, Drake, 21 Savage, Migos et Travis Scott. Son style, à la fois sombre, mélodique et lourd en basses, redéfinit le son hip‑hop contemporain. Après plusieurs mixtapes à succès, il sort en 2018 Not All Heroes Wear Capes, suivi en 2022 par Heroes & Villains, deux projets acclamés pour leur cohérence thématique et leur virtuosité de production."
3,Khalid,"Khalid Donnel Robinson, né le 11 février 1998 à Fort Stewart (Géorgie) et élevé à El Paso (Texas), connaît la célébrité en 2017 grâce au single Location, hymne R&B à la mélancolie douce. Son premier album, American Teen, atteint le top 10 aux États‑Unis et le platine international. Avec Free Spirit (2019), il confirme son talent pour les ballades soul teintées de pop et une écriture sensible sur l’adolescence et la quête d’identité. Apprécié pour son timbre chaud et ses textes authentiques, il collabore avec Billie Eilish, Normani et Logic. "
4,Ariana Grande,"Née le 26 juin 1993 à Boca Raton (Floride), Ariana Grande‑Butera débute comme actrice à Broadway puis dans la série Victorious. En 2013, son premier single The Way marque son entrée dans la pop mainstream. Dotée d’une tessiture exceptionnelle de quatre octaves, elle enchaîne les tubes (Problem, Side to Side, 7 Rings) et les albums multi‑platine (Yours Truly, Dangerous Woman, thank u, next, Positions). Engagée contre le terrorisme et pour la santé mentale, elle crée la One Love Manchester en 2017. Toujours en quête d’évolution, elle explore pop, R&B, trap et… même jazz pour surprendre son public. "
5,Kendrick Lamar,"Kendrick Lamar Duckworth, né le 17 juin 1987 à Compton (Californie), débute en 2003 sous le pseudonyme K.Dot. Avec Section.80 (2011), il attire l’attention grâce à sa plume poétique et engagée. good kid, m.A.A.d city (2012) devient un classique pour son récit autobiographique de la vie en gangsta rap, tandis que To Pimp a Butterfly (2015) marie jazz, soul et hip‑hop politique pour capturer l’Amérique post‑Obama. Lauréat du Prix Pulitzer de musique pour DAMN. (2017), il est salué pour son innovation, son flow dynamique et sa capacité à aborder l’identité, la race et la résilience."
6,Luther,"Luther (prénom non divulgué), jeune sensation du rap français, se fait connaître dès 2019 sur SoundCloud et Instagram. Son univers mélange habilement R&B sensuel et rap urbain introspectif, porté par un timbre grave et des mélodies soignées. Dans ses EPs et singles (GARÇON, EXIT), il explore les thèmes de l’amour, du doute et de la construction de soi. Sans concessions, il cultive une esthétique musicale épurée, qui lui vaut un public fidèle et la reconnaissance de la critique indépendante. "
7,Dadju,"Dadju Djuna Nsungula, né le 2 mai 1991 à Bobigny et d’origine congolaise, débute aux côtés de son frère Gims dans le duo The Shin Sekaï. En 2017, il se lance en solo avec Gentleman 2.0, classé numéro 1 en France. Son style R&B-pop aux influences afro, caractérisé par des refrains entêtants et des paroles romantiques, rencontre un grand succès avec des titres comme Reine et Django. Avec POISON OU ANTIDOTE (2020) et LIGNE DROITE (2021), il confirme sa place sur la scène urbaine francophone. "
8,Josman,"Josman, de son vrai nom Josselin Mandou, naît le 19 août 1994 à Villeurbanne. Passé par YouTube et SoundCloud, il sort sa première mixtape en 2016. Son rap, oscillant entre trap sombre et mélodies planantes, se nourrit de thèmes introspectifs (solitude, ambition, questionnements sociaux). Avec les projets J.O.$, M.A.N et J.000.$, il se forge une identité unique, saluée pour sa plume affûtée et ses productions ambitieuses. Artiste indépendant, il cultive une connexion forte avec son public."
9,Green Montana,"Green Montana, nom de scène de Maxime Schaer, grandit entre Genève et Lyon. Signé sur Rec. 118, il se fait remarquer en 2018 via ses premiers EPs. Alliant trap mélancolique et cloud rap, il joue sur les contrastes entre beats atmosphériques et voix grave. Ses projets Millésime et NOSTALGIA+ abordent la mémoire, l’ambition et la nostalgie urbaine. En alliant minimalisme sonore et ambiances oniriques, il s’impose comme une figure singulière du rap francophone."
10,Jok’air,"Jok’air, de son vrai nom Alex Kadji, né en 1990 à Douala, s’impose en 2016 après avoir quitté le collectif 7 Jazzy Boys. Entre rap et R&B, il creuse des thèmes variés (amour, société, confiance en soi) sur des productions mêlant soul, trap et pop. Ses albums VI RÉPUBLIQUE (2019) et H₂O (2021) témoignent d’une écriture honnête et d’un sens aigu du storytelling. Son flow versatile et sa sensibilité artistique lui valent un public fidèle."
11,PLK,"PLK, alias Mathieu Pruski, naît le 15 avril 1997 à Clamart. Ancien élève d’école de commerce, il se tourne vers la musique et publie son premier EP en 2017. Son rap, à la frontière du trap et du mélodique, se distingue par des punchlines tranchantes autant que par des refrains accrocheurs. Avec Polak (2018), Mental (2020) et Vitamines (2022), il s’impose sur la scène francophone, collaborant avec Niska, Damso et Heuss L’Enfoiré. Son parcours allie éducation et authenticité urbaine. "
